DDP: I am worker 0 of 1. My local rank is 0
=> Dummy data is used!
start training
[METRIC] [2024-06-22T06:52:28.998416] Step 60 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:52:29.440982] Step 61 Rank 0 processed 400 samples in 0.4425 seconds
[METRIC] [2024-06-22T06:52:29.880371] Step 62 Rank 0 processed 400 samples in 0.4393 seconds
[METRIC] [2024-06-22T06:52:30.322229] Step 63 Rank 0 processed 400 samples in 0.4418 seconds
[METRIC] [2024-06-22T06:52:30.764340] Step 64 Rank 0 processed 400 samples in 0.4421 seconds
[METRIC] [2024-06-22T06:52:31.203945] Step 65 Rank 0 processed 400 samples in 0.4396 seconds
[METRIC] [2024-06-22T06:52:31.644887] Step 66 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:52:32.087941] Step 67 Rank 0 processed 400 samples in 0.4430 seconds
[METRIC] [2024-06-22T06:52:32.527414] Step 68 Rank 0 processed 400 samples in 0.4394 seconds
[METRIC] [2024-06-22T06:52:32.968553] Step 69 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:52:33.410395] Step 70 Rank 0 processed 400 samples in 0.4418 seconds
[METRIC] [2024-06-22T06:52:33.851042] Step 71 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:52:34.291731] Step 72 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:52:34.733282] Step 73 Rank 0 processed 400 samples in 0.4415 seconds
[METRIC] [2024-06-22T06:52:35.173305] Step 74 Rank 0 processed 400 samples in 0.4400 seconds
[METRIC] [2024-06-22T06:52:35.615249] Step 75 Rank 0 processed 400 samples in 0.4419 seconds
[METRIC] [2024-06-22T06:52:36.056110] Step 76 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:52:36.496906] Step 77 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:52:36.937580] Step 78 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:52:37.380191] Step 79 Rank 0 processed 400 samples in 0.4426 seconds
[METRIC] [2024-06-22T06:52:37.820554] Step 80 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:52:38.263903] Step 81 Rank 0 processed 400 samples in 0.4433 seconds
[METRIC] [2024-06-22T06:52:38.701749] Step 82 Rank 0 processed 400 samples in 0.4378 seconds
[METRIC] [2024-06-22T06:52:39.144079] Step 83 Rank 0 processed 400 samples in 0.4423 seconds
[METRIC] [2024-06-22T06:52:39.586820] Step 84 Rank 0 processed 400 samples in 0.4427 seconds
[METRIC] [2024-06-22T06:52:40.026181] Step 85 Rank 0 processed 400 samples in 0.4393 seconds
[METRIC] [2024-06-22T06:52:40.467089] Step 86 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:52:40.910347] Step 87 Rank 0 processed 400 samples in 0.4432 seconds
[METRIC] [2024-06-22T06:52:41.349075] Step 88 Rank 0 processed 400 samples in 0.4387 seconds
[METRIC] [2024-06-22T06:52:41.790144] Step 89 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:52:42.230674] Step 90 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:52:42.672672] Step 91 Rank 0 processed 400 samples in 0.4419 seconds
[METRIC] [2024-06-22T06:52:43.113372] Step 92 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:43.554672] Step 93 Rank 0 processed 400 samples in 0.4413 seconds
[METRIC] [2024-06-22T06:52:43.995004] Step 94 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:52:44.437061] Step 95 Rank 0 processed 400 samples in 0.4420 seconds
[METRIC] [2024-06-22T06:52:44.877412] Step 96 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:52:45.318795] Step 97 Rank 0 processed 400 samples in 0.4413 seconds
[METRIC] [2024-06-22T06:52:45.761309] Step 98 Rank 0 processed 400 samples in 0.4425 seconds
[METRIC] [2024-06-22T06:52:46.201524] Step 99 Rank 0 processed 400 samples in 0.4402 seconds
[METRIC] [2024-06-22T06:52:46.642200] Step 100 Rank 0 processed 400 samples in 0.4406 seconds
Throughput: 900.083 images/s, Batch size: 400, Num of GPUs: 1, Total time: 47.306 s, Average batch time: 0.468 s, First batch time: 3.310 s
[METRIC] [2024-06-22T06:52:46.642373] Finished epoch 0
[METRIC] AU[0] (%): 99.9372
[METRIC] Throughput (samples/second): 909.1831
[METRIC] Compute time per step (s): 0.4397 (0.0278)
start training
[METRIC] [2024-06-22T06:52:48.705582] Step 0 Rank 0 processed 400 samples in 1.2664 seconds
[METRIC] [2024-06-22T06:52:49.138459] Step 1 Rank 0 processed 400 samples in 0.4328 seconds
[METRIC] [2024-06-22T06:52:49.579853] Step 2 Rank 0 processed 400 samples in 0.4413 seconds
[METRIC] [2024-06-22T06:52:50.022433] Step 3 Rank 0 processed 400 samples in 0.4425 seconds
[METRIC] [2024-06-22T06:52:50.462062] Step 4 Rank 0 processed 400 samples in 0.4396 seconds
[METRIC] [2024-06-22T06:52:50.903004] Step 5 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:52:51.359213] Step 6 Rank 0 processed 400 samples in 0.4562 seconds
[METRIC] [2024-06-22T06:52:51.798684] Step 7 Rank 0 processed 400 samples in 0.4394 seconds
[METRIC] [2024-06-22T06:52:52.239756] Step 8 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:52:52.680491] Step 9 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:53.122195] Step 10 Rank 0 processed 400 samples in 0.4416 seconds
[METRIC] [2024-06-22T06:52:53.563626] Step 11 Rank 0 processed 400 samples in 0.4414 seconds
[METRIC] [2024-06-22T06:52:54.003653] Step 12 Rank 0 processed 400 samples in 0.4400 seconds
[METRIC] [2024-06-22T06:52:54.445669] Step 13 Rank 0 processed 400 samples in 0.4420 seconds
[METRIC] [2024-06-22T06:52:54.887767] Step 14 Rank 0 processed 400 samples in 0.4420 seconds
[METRIC] [2024-06-22T06:52:55.327644] Step 15 Rank 0 processed 400 samples in 0.4399 seconds
[METRIC] [2024-06-22T06:52:55.767105] Step 16 Rank 0 processed 400 samples in 0.4394 seconds
[METRIC] [2024-06-22T06:52:56.210585] Step 17 Rank 0 processed 400 samples in 0.4434 seconds
[METRIC] [2024-06-22T06:52:56.649470] Step 18 Rank 0 processed 400 samples in 0.4388 seconds
[METRIC] [2024-06-22T06:52:57.090964] Step 19 Rank 0 processed 400 samples in 0.4415 seconds
[METRIC] [2024-06-22T06:52:57.531475] Step 20 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:52:57.971331] Step 21 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:52:58.413503] Step 22 Rank 0 processed 400 samples in 0.4421 seconds
[METRIC] [2024-06-22T06:52:58.854690] Step 23 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:52:59.294286] Step 24 Rank 0 processed 400 samples in 0.4396 seconds
[METRIC] [2024-06-22T06:52:59.736575] Step 25 Rank 0 processed 400 samples in 0.4422 seconds
[METRIC] [2024-06-22T06:53:00.177100] Step 26 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:00.617928] Step 27 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:53:01.057779] Step 28 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:53:01.500258] Step 29 Rank 0 processed 400 samples in 0.4424 seconds
[METRIC] [2024-06-22T06:53:01.940842] Step 30 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:02.383617] Step 31 Rank 0 processed 400 samples in 0.4427 seconds
[METRIC] [2024-06-22T06:53:02.821120] Step 32 Rank 0 processed 400 samples in 0.4375 seconds
[METRIC] [2024-06-22T06:53:03.261665] Step 33 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:03.705467] Step 34 Rank 0 processed 400 samples in 0.4438 seconds
[METRIC] [2024-06-22T06:53:04.144247] Step 35 Rank 0 processed 400 samples in 0.4387 seconds
[METRIC] [2024-06-22T06:53:04.585820] Step 36 Rank 0 processed 400 samples in 0.4415 seconds
[METRIC] [2024-06-22T06:53:05.035816] Step 37 Rank 0 processed 400 samples in 0.4499 seconds
[METRIC] [2024-06-22T06:53:05.466662] Step 38 Rank 0 processed 400 samples in 0.4308 seconds
[METRIC] [2024-06-22T06:53:05.908249] Step 39 Rank 0 processed 400 samples in 0.4416 seconds
[METRIC] [2024-06-22T06:53:06.347637] Step 40 Rank 0 processed 400 samples in 0.4394 seconds
[METRIC] [2024-06-22T06:53:06.789439] Step 41 Rank 0 processed 400 samples in 0.4418 seconds
[METRIC] [2024-06-22T06:53:07.230853] Step 42 Rank 0 processed 400 samples in 0.4414 seconds
[METRIC] [2024-06-22T06:53:07.671360] Step 43 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:08.112445] Step 44 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:08.553211] Step 45 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:08.994187] Step 46 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:53:09.433990] Step 47 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:53:09.875968] Step 48 Rank 0 processed 400 samples in 0.4419 seconds
[METRIC] [2024-06-22T06:53:10.316762] Step 49 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:10.756984] Step 50 Rank 0 processed 400 samples in 0.4402 seconds
[METRIC] [2024-06-22T06:53:11.199450] Step 51 Rank 0 processed 400 samples in 0.4424 seconds
[METRIC] [2024-06-22T06:53:11.638925] Step 52 Rank 0 processed 400 samples in 0.4394 seconds
[METRIC] [2024-06-22T06:53:12.079035] Step 53 Rank 0 processed 400 samples in 0.4401 seconds
[METRIC] [2024-06-22T06:53:12.521504] Step 54 Rank 0 processed 400 samples in 0.4424 seconds
[METRIC] [2024-06-22T06:53:12.960451] Step 55 Rank 0 processed 400 samples in 0.4389 seconds
[METRIC] [2024-06-22T06:53:13.401409] Step 56 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:53:13.842228] Step 57 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:53:14.283247] Step 58 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:14.723973] Step 59 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:15.165256] Step 60 Rank 0 processed 400 samples in 0.4413 seconds
[METRIC] [2024-06-22T06:53:15.605214] Step 61 Rank 0 processed 400 samples in 0.4399 seconds
[METRIC] [2024-06-22T06:53:16.046511] Step 62 Rank 0 processed 400 samples in 0.4413 seconds
[METRIC] [2024-06-22T06:53:16.487231] Step 63 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:16.927054] Step 64 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:53:17.371086] Step 65 Rank 0 processed 400 samples in 0.4440 seconds
[METRIC] [2024-06-22T06:53:17.810487] Step 66 Rank 0 processed 400 samples in 0.4393 seconds
[METRIC] [2024-06-22T06:53:18.250910] Step 67 Rank 0 processed 400 samples in 0.4404 seconds
[METRIC] [2024-06-22T06:53:18.692808] Step 68 Rank 0 processed 400 samples in 0.4419 seconds
[METRIC] [2024-06-22T06:53:19.133362] Step 69 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:19.573694] Step 70 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:53:20.016005] Step 71 Rank 0 processed 400 samples in 0.4423 seconds
[METRIC] [2024-06-22T06:53:20.455708] Step 72 Rank 0 processed 400 samples in 0.4397 seconds
[METRIC] [2024-06-22T06:53:20.895749] Step 73 Rank 0 processed 400 samples in 0.4400 seconds
[METRIC] [2024-06-22T06:53:21.337322] Step 74 Rank 0 processed 400 samples in 0.4415 seconds
