epoch,loss,lr,mean_absolute_error,time,val_loss,val_mean_absolute_error
0,1.7738233,0.0025,1.2000968,30.321672439575195,1.6925197,1.1733071
1,1.783895,0.0023169417,1.2057567,14.54853868484497,1.6925197,1.1733071
2,1.7870176,0.0021338835,1.2070578,14.164294242858887,1.6925197,1.1733071
